user ID,Name,Age,Gender,Academic Background,Field of Study,Skills,Industry Interest,Job Type Interest,Location Interest,Salary Expectation (in USD),desired company
778963,Olivia,34,Female,Bachelor's degree,Business Administration,Financial analysis and forecasting Strategic planning Project management,fintech,Full-time," Sindh, Pakistan",80000, Lyft
991218,Alexander,28,Male,Master's degree,Biology,Genetic analysis and manipulation Microscopy and imaging techniques Field research and data collection,healthcare,Internship," Sao Paulo, Brazil",40000, Tesla
959415,Charlotte,18,Female,Bachelor's degree,Graphic Design,Typography and layout design Branding and identity design User experience design,Technology,Freelance," Yucatan, Mexico",60000, Twitter
978816,Samuel,31,Female,Associate's degree,Political Science,Comparative politics international relations Political theory,media,Part-time," Eastern Cape, South Africa",20000, LinkedIn
978804,Ava,22,Male,Bachelor's degree,Anthropology,Ethnographic field methods Cultural analysis and interpretation Linguistic anthropology,healthcare,Full-time," Hubei, China",65000, Square
966539,Ethan,20,Female,Associate's degree,physcics ,Quantum mechanics Mathematical modeling and simulation Experimental design and data analysis,Technology,Full-time," Lombardy, Italy",50000, Dropbox
959023,Isabella,22,Male,Master's degree,education,Curriculum design and evaluation Classroom management and instruction Educational psychology and assessment,education,Contract," Ogun, Nigeria",90000, Box
989660,Benjamin,30,Male,Bachelor's degree,marketing,Market research and analysis Brand management Digital marketing and advertising,media,Full-time," Odisha, India",100000, Atlassian
947850,Amelia,32,Female,Bachelor's degree,Linguistics,Phonetics and phonology Semantics and pragmatics Language acquisition and development,education,Full-time," Canterbury, New Zealand",65000, Slack Technologies
967162,Jacob,44,Male,Master's degree,Architecture,Architectural drafting and design Building materials and construction techniques Sustainable design and green building,Construction,Contract," Paris, France",85000, Zoom Video Communications
991911,Mia,50,Female," bachelor""s degree",chemistry,Chemical synthesis and analysis Spectroscopy and analytical techniques Biochemistry and molecular biology,Manufacturing,Part-time," London, United Kingdom",30000, DocuSign
976578,Lucas,18,Male,Associate's degree,social work ,Case management and client assessment Crisis intervention and counseling Policy analysis and advocacy,media ,Full-time," Berlin, Germany",45000, Okta
972440,Harper,43,Male,Bachelor's degree,music,Music theory and composition Performance technique and interpretation Music technology and production,media ,Freelance," Madrid, Spain",70000, Twilio
985214,Matthew,36,Female,Bachelor's degree,history,Historical research and interpretation Archival research and documentation Oral history interviewing and analysis,media,Full-time," Rome, Italy",75000, Zscaler
981823,Grace,36,Male,Master's degree,economics,Micro and macroeconomic analysis Econometrics and statistical analysis Game theory and decision-making,fintech,Contract," Moscow, Russia",85000, CrowdStrike Holdings
965464,Gabriel,31,Female," bachelor""s degree",theather,Acting technique and performance Stagecraft and production design Dramaturgy and playwriting,media,Part-time," Amsterdam, Netherlands",25000, Fortinet
985379,Abigail,23,Male,Bachelor's degree,Public Health,Epidemiological research and analysis Health policy and management Community health promotion and education,education,Freelance," Vienna, Austria",55000, Palo Alto Networks
982209,David,20,Female,Master's degree,Philosophy,Epistemology and metaphysics Ethics and moral philosophy Political and social philosophy,media,Full-time," Athens, Greece",65000, CyberArk Software
965589,Ella,42,Male,Master's degree,Criminal Justice,"Epistemology and metaphysics Ethics and moral philosophy Political and social philosophy
Criminal Justice",media,Full-time," Lisbon, Portugal",55000, Check Point Software Technologies
975758,Joseph,34,Female,Bachelor's degree,art history ,Art criticism and theory Museum studies and curation Visual culture and media studies,media,Contract," Copenhagen, Denmark",35000, VMware
992153,Madison,19,Male,Bachelor's degree,Mathematics,Calculus and advanced algebra Geometry and topology Probability and statistics,education,Part-time," Brussels, Belgium",45000, Red Hat
811251,Noah,25,Female,Master's degree,sociology ,Social research methods Cultural analysis and interpretation Social inequality and stratification,media ,Full-time," Helsinki, Finland",80000, ServiceNow
960049,Lily,27,Male,Bachelor's degree,public relation,"
Media relations and communication Crisis management and reputation repair Event planning and coordination",media,Freelance," Oslo, Norway",45000, Salesforcecom
998310,Emma,27,Female,Bachelor's degree,Philosophy,Epistemology and metaphysics Ethics and moral philosophy Political and social philosophy,media,Full-time," Stockholm, Sweden",55000, Adobe
983762,Jackson,33,Male,Bachelor's degree,Aerospace Engineering,Aerodynamics and fluid mechanics Materials science and engineering Control systems and instrumentation,Manufacturing,Full-time," Zurich, Switzerland",35000, Autodesk
973161,Scarlett,19,Female,Master's degree,Communication Studies,Interpersonal communication and relationships Mass media and communication technology Organizational communication and management,media,Internship," Warsaw, Poland",75000, Ansys
971194,Oliver,38,Male,Bachelor's degree,English Literature,Literary analysis and interpretation Creative writing and composition Rhetoric and composition theory,education,Freelance," Budapest, Hungary",45000, Splunk
949786,Chloe,28,Female,Master's degree,Computer Science,"Java, Python, Data Structures",Industry Interest,Part-time," Dubrovnik, Croatia",40000, Elastic
968782,Elijah,32,Male,Bachelor's degree,Business,"Finance, Accounting, Microsoft Excel",Technology,Full-time," Reykjavik, Iceland",35000, Cloudflare
998305,Avery,35,Female,Bachelor's degree,N/A,"Sales, Customer Service, Communication",Finance,Full-time," Edinburgh, United Kingdom",30000, Snowflake
968581,Ethan,35,Female,Master's degree,Nursing,"Patient Care, Medical Terminology",Retail,Contract," Dublin, Ireland",65000, Datadog
998336,Elizabeth,23,Female,Bachelor's degree,Marketing,"Digital Marketing, Social Media",Healthcare,Full-time," Prague, Czech Republic",85000, Sumo Logic
748110,Henry,35,Male,Master's degree,Public Health,"Epidemiology, Biostatistics, Data Analysis",Marketing,Contract," Tallinn, Estonia",30000, MongoDB
959034,Ella,47,Male,Associate's degree,Mechanical Eng.,"AutoCAD, MATLAB, Robotics",Healthcare,Part-time," Riga, Latvia",45000, UiPath
977223,Dylan,37,Male,Bachelor's Degree ,Computer Science,"C++, Java, Web Development",Engineering,Full-time," Vilnius, Lithuania",70000, Roblox
958701,Sofia,47,Female,Master's Degree ,Architecture,"AutoCAD, SketchUp, Adobe Photoshop",Technology,Freelance," Sofia, Bulgaria",75000, Epic Games
555497,Samuel,35,Male,Bachelor's Degree ,Culinary Arts,"Cooking, Food Safety, Kitchen Management",Architecture,Full-time," Bucharest, Romania",80000, Unity Technologies
911470,Victoria,26,Male,Master's Degree ,Accounting,"Tax Preparation, Financial Reporting, Excel",Hospitality,Full-time," Belgrade, Serbia",40000, Nintendo
962942,Levi,19,Female,Bachelor's Degree ,IT,"Network Security, Troubleshooting, Linux",Finance,Internship," Sarajevo, Bosnia and Herzegovina",60000, Activision Blizzard
962309,Addison,24,Male,Bachelor's Degree ,Marketing,"Market Research, Strategic Planning",Technology,Freelance," Bratislava, Slovakia",20000, Electronic Arts
967831,Mason,27,Female,Master's Degree ,Environmental Sc.,"GIS, Environmental Sampling, Data Analysis",Marketing,Full-time," Ljubljana, Slovenia",50000, Take-Two Interactive Software
993382,Aubrey,22,Female,Bachelor's degree,Computer Science,"Java, Python, Data Structures",Environmental Sc.,Full-time," Zagreb, Croatia",90000, Shopify
784138,Caleb,35,male,Master's Degree ,Business,"Finance, Accounting, Microsoft Excel",Technology,Contract," Marseille, France",90000, Square Enix Holdings
961318,Emily,29,female,master's degree,N/A,"Sales, Customer Service, Communication",Finance,Full-time," Lyon, France",120000, Rakuten
980256,Isaac,21,female,Master's Degree ,Nursing,"Patient Care, Medical Terminology",Retail,Full-time," Munich, Germany",110000, MercadoLibre
988845,Charlotte,20,male,master's degree,Marketing,"Digital Marketing, Social Media",Healthcare,Contract," Hamburg, Germany",100000, Sea Limited
959179,Wyatt,36,female,Master's Degree ,Engineering,"MATLAB, SolidWorks, CAD",Marketing,Full-time," Cologne, Germany",130000, Zendesk
972441,Sofia,32,,"master""s degree",Psychology,"Counseling, Psychotherapy",Engineering,Full-time," Frankfurt, Germany",150000, Atlassian
965582,Owen,35,,Bachelor's degree,N/A,"Hospitality, Cooking, Time Management",Healthcare,Full-time," Dresden, Germany",65000, Dropbox
962505,Natalie,21,,Master's degree,Graphic Design,"Adobe Photoshop, Illustrator",Hospitality,Contract," Salzburg, Austria",85000, HubSpot
990724,Alexander,32,," bachelor""s degree",Education,"Curriculum Design, Teaching",Creative,Part-time," Krakow, Poland",30000, Smartsheet
986753,Ellie,25,,Associate's degree,Marketing,"Marketing Analytics, Market Research, Advertising",Education,Full-time," Gdansk, Poland",45000, DocuSign
791548,Sebastian,37,,Bachelor's degree,Mechanical Engineering,"CAD, FEA, Design for Manufacturing",Marketing,Freelance," Valencia, Spain",70000, Square
594112,Scarlett,40,Male+D43B100D2:D57,Master's degree,Psychology,"Counseling, Research Methods, Communication",Manufacturing,Full-time," Malaga, Spain",75000, Splunk
973638,Ethan,23,Female,Bachelor's degree,Finance,"Financial Analysis, Investment Management",Healthcare,Full-time," Porto, Portugal",80000, RingCentral
974623,Zoe,26,Male,Master's degree,Journalism,"Writing, Editing, Social Media Management",Finance,Internship," Krakow, Poland",40000, Cloudera
992480,Isaiah,38,Female,Bachelor's degree,Civil Engineering,"AutoCAD, Construction Management, Project Planning",Media,Freelance," Saint Petersburg, Russia",60000, PagerDuty
959571,Elizabeth,35,Male,Associate's degree,Biology,"Lab Techniques, Research Methodology, Data Analysis",Construction,Part-time," Geneva, Switzerland",20000, Asana
973557,Logan,20,Female,Bachelor's degree,Economics,"Econometrics, Microeconomics, Statistical Analysis",Science,Full-time, Monaco,65000, Dynatrace
966991,Audrey,41,Male,Associate's degree,Education,"Curriculum Design, Teaching, Classroom Management",Consulting,Full-time," New York City, USA",50000, MongoDB
966391,Luke,33,Female,Master's degree,Public Health,"Epidemiology, Biostatistics, Health Policy",Education,Contract," Los Angeles, USA",90000, Slack Technologies
933048,Brooklyn,40,Male,Bachelor's degree,Graphic Design,"Adobe Creative Suite, Illustration, Typography",Healthcare,Full-time," Chicago, USA",100000, Datadog
967830,Gabriel,34,Female,Bachelor's degree,Environmental Science,"GIS, Fieldwork, Environmental Policy",Design,Full-time," Toronto, Canada",65000, JFrog
972297,Piper,32,Female,Master's degree,International Business,"Cross-cultural Communication, Global Marketing",Environment,Contract," Montreal, Canada",85000, Cloudflare
958639,Julian,30,Male," bachelor""s degree",Computer Science,"Java, Python, Data Structures",Business,Part-time," Vancouver, Canada",30000, Snowflake
911360,Hannah,33,Female,Associate's degree,Business,"Finance, Accounting, Microsoft Excel",Health care,Full-time," Mexico City, Mexico",45000, ZoomInfo Technologies
997201,Cameron,36,Male,Bachelor's degree,health,"medicals, Customer Service, Communication",Finance,Freelance," Miami, USA",70000, Zscaler
993226,Grace,32,Male,Bachelor's degree,Nursing,"Patient Care, Medical Terminology",healthcare,Full-time," San Francisco, USA",75000, CrowdStrike Holdings
962981,Christopher,31,Female,Master's degree,Marketing,"Digital Marketing, Social Media",Technology,Contract," Washington DC, USA",85000, Twilio
980234,Isabelle,24,Male," bachelor""s degree",Public Health,"Epidemiology, Biostatistics, Data Analysis",Agriculture,Part-time," Boston, USA",25000, Appian
998456,Ryan,22,Female,Bachelor's degree,Mechanical Eng.,"AutoCAD, MATLAB, Robotics",Energy,Freelance," Seattle, USA",55000, Domo
110595,Savannah,20,Male,Master's degree,Computer Science,"C++, Java, Web Development",Retail,Full-time," Austin, USA",65000, Coupa Software
958874,Nicholas,34,Male,Master's degree,Architecture,"AutoCAD, SketchUp, Adobe Photoshop",Technology,Full-time," Houston, USA",55000, Anaplan
977432,Addison,56,Female,Bachelor's degree,Accounting,"Tax Preparation, Financial Reporting, Excel",Transportation,Contract," Dallas, USA",35000, Zillow Group
982682,Caleb,27,Male,Bachelor's degree,IT,"Network Security, Troubleshooting, Linux",Marketing,Part-time," San Diego, USA",45000, Chewy
959172,Avery,23,Female,Master's degree,Marketing,"Market Research, Strategic Planning",Media,Full-time," Phoenix, USA",80000, Peloton Interactive
958660,Daniel,22,Male,Bachelor's degree,Computer Science,"excel, Python, Data Structures",Consulting,Freelance," Atlanta, USA",45000, Beyond Meat
967585,Anna,25,Female,Bachelor's degree,Computer Science,"power bi, Python, Data Structures",Technology,Full-time," Denver, USA",55000, Moderna
967920,Christian,21,Male,Bachelor's degree,Computer Science,"Rstudio, Python, Data Structures",Technology,Full-time," Nashville, USA",35000, CRISPR Therapeutics
984035,Lauren,27,Female,Master's degree,Computer Science,"Rstudio, Python, Data Structures",Technology,Internship," Portland, USA",75000, Illumina
980188,Lincoln,23,Male,Bachelor's degree,Computer Science,"Rstudio, Python, Data Structures",Technology,Freelance," Calgary, Canada",45000, Vertex Pharmaceuticals
971446,Brielle,21,Female,Master's degree,Industrial Engineering,Process design and optimization Lean manufacturing Quality control,Technology,Part-time," Ottawa, Canada",40000, Nvidia
968358,Aaron,33,Male,Bachelor's degree,Psychology,Cognitive behavioral therapy Psychometric testing Research design and analysis,technology,Full-time," Quebec City, Canada",35000, Advanced Micro Devices
965460,Avery,22,Female,Bachelor's degree,Environmental Science,Data analysis and interpretation Ecosystem modeling Climate change adaptation planning,healthcare,Full-time," Guadalajara, Mexico",30000, Qualcomm
926421,Isaiah,24,Male,Master's degree,Computer Science,Algorithm design and analysis Object-oriented programming Database management,Construction,Contract," Cancun, Mexico",65000, Micron Technology
991469,Bella,33,Female,Bachelor's degree,Journalism,Investigative reporting Multimedia storytelling Data journalism,Technology,Full-time," Tijuana, Mexico",85000, Western Digital
963796,Eli,28,Male,Master's degree,Mechanical Engineering,Material science CAD modeling and simulation Robotics,media,Contract," Edmonton, Canada",30000, Seagate Technology
978743,Claire,22,Female,Associate's degree,Business Administration,Financial analysis and forecasting Strategic planning Project management,construction,Part-time," Winnipeg, Canada",45000, Broadcom
991136,Sebastian,31,Male,Bachelor's Degree ,Biology,Genetic analysis and manipulation Microscopy and imaging techniques Field research and data collection,fintech,Full-time," Anchorage, USA",70000, Marvell Technology Group
968762,Skylar,46,Female,Master's Degree ,Graphic Design,Typography and layout design Branding and identity design User experience design,healthcare,Freelance," Honolulu, USA",75000, NXP Semiconductors
981758,Joshua,24,Female,Bachelor's Degree ,Political Science,Comparative politics international relations Political theory,Technology,Full-time," Tampa, USA",80000, ASML Holding
958695,Leah,20,Female,Master's Degree ,Anthropology,Ethnographic field methods Cultural analysis and interpretation Linguistic anthropology,media,Full-time," Charlotte, USA",40000, Lam Research
962271,Xavier,24,Male,Bachelor's Degree ,physcics ,Quantum mechanics Mathematical modeling and simulation Experimental design and data analysis,healthcare,Internship," Philadelphia, USA",60000, Applied Materials
968041,Isabella,36,Male,Bachelor's Degree ,education,Curriculum design and evaluation Classroom management and instruction Educational psychology and assessment,Technology,Freelance," Las Vegas, USA",20000, KLA Corporation
870165,Julian,38,Male,Master's Degree ,marketing,Market research and analysis Brand management Digital marketing and advertising,education,Full-time," Salt Lake City, USA",50000, Texas Instruments
991425,Aria,31,Female,Bachelor's degree,Linguistics,Phonetics and phonology Semantics and pragmatics Language acquisition and development,media,Full-time," San Antonio, USA",90000, Analog Devices
982066,Dominic,42,Male,Master's Degree ,Architecture,Architectural drafting and design Building materials and construction techniques Sustainable design and green building,education,Contract," Indianapolis, USA",90000, Maxim Integrated Products
965154,Madelyn,22,Male,master's degree,chemistry,Chemical synthesis and analysis Spectroscopy and analytical techniques Biochemistry and molecular biology,Construction,Full-time," Kansas City, USA",120000, Infineon Technologies
969651,Levi,34,Female,Master's Degree ,social work ,Case management and client assessment Crisis intervention and counseling Policy analysis and advocacy,Manufacturing,Full-time," Columbus, USA",110000, STMicroelectronics
975167,Jade,30,Male,master's degree,music,Music theory and composition Performance technique and interpretation Music technology and production,media ,Contract," Louisville, USA",100000, Siemens
968513,Anthony,27,Female,Master's Degree ,history,Historical research and interpretation Archival research and documentation Oral history interviewing and analysis,media ,Full-time," Memphis, USA",130000, ABB
976951,Lily,24,Female,"master""s degree",economics,Micro and macroeconomic analysis Econometrics and statistical analysis Game theory and decision-making,media,Full-time," New Orleans, USA",150000, Schneider Electric
969078,Wyatt,33,male,Bachelor's degree,theather,Acting technique and performance Stagecraft and production design Dramaturgy and playwriting,fintech,Full-time," Oklahoma City, USA",90000, Honeywell International
968549,Nora,42,female,Master's degree,Public Health,Epidemiological research and analysis Health policy and management Community health promotion and education,media,Contract," Omaha, USA",120000, Johnson Controls International
963051,Isaac,38,female," bachelor""s degree",Philosophy,Epistemology and metaphysics Ethics and moral philosophy Political and social philosophy,education,Part-time," Pittsburgh, USA",110000, Rockwell Automation
966856,Camila,24,male,Associate's degree,Criminal Justice,"Epistemology and metaphysics Ethics and moral philosophy Political and social philosophy
Criminal Justice",media,Full-time," Raleigh, USA",100000, Emerson Electric
970812,Jackson,31,female,Bachelor's degree,art history ,Art criticism and theory Museum studies and curation Visual culture and media studies,media,Freelance," Sacramento, USA",130000, General Electric
895658,Lila,28,,Master's degree,Mathematics,Calculus and advanced algebra Geometry and topology Probability and statistics,media,Full-time," San Jose, USA",150000, Raytheon Technologies
993566,Jeremiah,23,,Bachelor's degree,sociology ,Social research methods Cultural analysis and interpretation Social inequality and stratification,education,Full-time," St Louis, USA",100000, Lockheed Martin
984245,Kennedy,42,,Master's degree,public relation,"
Media relations and communication Crisis management and reputation repair Event planning and coordination",media ,Internship,,65000, Northrop Grumman
963102,Colton,49,,Bachelor's degree,Philosophy,Epistemology and metaphysics Ethics and moral philosophy Political and social philosophy,media,Freelance,New York,85000, Boeing
40049,Peyton,33,,Associate's degree,Aerospace Engineering,Aerodynamics and fluid mechanics Materials science and engineering Control systems and instrumentation,media,Part-time,London,30000, Airbus
972397,Nathaniel,22,,Bachelor's degree,Communication Studies,Interpersonal communication and relationships Mass media and communication technology Organizational communication and management,Manufacturing,Full-time,Chicago,45000, BAE Systems
966427,Mackenzie,31,Male+D43B100D2:D58,Associate's degree,English Literature,Literary analysis and interpretation Creative writing and composition Rhetoric and composition theory,media,Full-time,Los Angeles,70000, Thales Group
971483,Dylan,20,Female,Master's degree,Computer Science,"Java, Python, Data Structures",education,Contract,Toronto,75000, Rolls-Royce Holdings
992349,Maya,38,Male,Bachelor's degree,Business,"Finance, Accounting, Microsoft Excel",Industry Interest,Full-time,Washington DC,85000, Honeywell Aerospace
836282,Jonathan,30,Female,Bachelor's degree,N/A,"Sales, Customer Service, Communication",Technology,Full-time,San Francisco,25000, Safran
991556,Adeline,41,Male,Master's degree,Nursing,"Patient Care, Medical Terminology",Finance,Contract,Seattle,55000, Leonardo
985164,Andrew,26,Female," bachelor""s degree",Marketing,"Digital Marketing, Social Media",Retail,Part-time,London,65000, Capgemini
965379,Hailey,35,Male,Associate's degree,Public Health,"Epidemiology, Biostatistics, Data Analysis",Healthcare,Full-time,Miami,55000, Accenture
966995,Christopher,22,Female,Bachelor's degree,Mechanical Eng.,"AutoCAD, MATLAB, Robotics",Marketing,Freelance,New York,35000, Infosys
963074,Isla,25,Male,Bachelor's degree,Computer Science,"C++, Java, Web Development",Healthcare,Full-time,Dallas,45000, Tata Consultancy Services
969094,Grayson,21,Female,Master's degree,Architecture,"AutoCAD, SketchUp, Adobe Photoshop",Engineering,Contract,Los Angeles,80000, Wipro
966304,Aubree,41,Female," bachelor""s degree",Culinary Arts,"Cooking, Food Safety, Kitchen Management",Technology,Part-time,Vancouver,45000, Cognizant Technology Solutions
967966,Joshua,34,Male,Bachelor's degree,Accounting,"Tax Preparation, Financial Reporting, Excel",Architecture,Freelance,New York,55000, HCL Technologies
959082,Victoria,22,Female,Master's degree,IT,"Network Security, Troubleshooting, Linux",Hospitality,Full-time,London,35000, DXC Technology
316561,Asher,30,Male,Master's degree,Marketing,"Market Research, Strategic Planning",Finance,Full-time,Chicago,75000, Atos
